GPU,Queue,Graph,Vertices,Edges,Threads,Block,Time_med_s,Time_iqr_s,TEPS_med_Gedges/s,TEPS_iqr_Gedges/s
MI300A,GWFQ,../gunrock/datasets/kron_g500-logn21/kron_g500-logn21.mtx,2097152,182081864,2048,256,38.5304,0.291582,1.4471,0.0247707
MI300A,GLFQ,../gunrock/datasets/kron_g500-logn21/kron_g500-logn21.mtx,2097152,182081864,4096,256,19.4509,0.371632,2.37402,0.0428455
MI300A,GWFQ,../gunrock/datasets/kron_g500-logn21/kron_g500-logn21.mtx,2097152,182081864,4096,256,28.8912,0.484343,2.18914,0.0558857
MI300A,GLFQ,../gunrock/datasets/kron_g500-logn21/kron_g500-logn21.mtx,2097152,182081864,8192,256,14.7192,0.291551,3.20658,0.0623578
MI300A,GWFQ,../gunrock/datasets/kron_g500-logn21/kron_g500-logn21.mtx,2097152,182081864,8192,256,23.4264,0.395943,3.1113,0.0943611
MI300A,GLFQ,../gunrock/datasets/delaunay_n24/delaunay_n24.mtx,16777216,100663202,1024,256,977.448,9.4816,0.103422,0.00149169
MI300A,GWFQ,../gunrock/datasets/delaunay_n24/delaunay_n24.mtx,16777216,100663202,1024,256,1203.34,28.6556,0.0839184,0.0014889
MI300A,GLFQ,../gunrock/datasets/delaunay_n24/delaunay_n24.mtx,16777216,100663202,2048,256,686.698,5.92498,0.139859,0.00213764
MI300A,GWFQ,../gunrock/datasets/delaunay_n24/delaunay_n24.mtx,16777216,100663202,2048,256,756.629,10.0363,0.130388,0.00343458
MI300A,GLFQ,../gunrock/datasets/delaunay_n24/delaunay_n24.mtx,16777216,100663202,4096,256,826.276,14.4142,0.10763,0.00082351
MI300A,GWFQ,../gunrock/datasets/delaunay_n24/delaunay_n24.mtx,16777216,100663202,4096,256,723.779,10.6291,0.126796,0.00210115
MI300A,GLFQ,../gunrock/datasets/delaunay_n24/delaunay_n24.mtx,16777216,100663202,8192,256,1315.38,7.3184,0.0655037,0.000757116
MI300A,GWFQ,../gunrock/datasets/delaunay_n24/delaunay_n24.mtx,16777216,100663202,8192,256,1007.88,6.32579,0.0866467,0.000700413
MI300A,GLFQ,../gunrock/datasets/delaunay_n21/delaunay_n21.mtx,2097152,12582816,1024,256,132.753,0.679647,0.101393,0.000548257
MI300A,GWFQ,../gunrock/datasets/delaunay_n21/delaunay_n21.mtx,2097152,12582816,1024,256,162.127,0.340482,0.0845349,7.26737e-05
MI300A,GLFQ,../gunrock/datasets/delaunay_n21/delaunay_n21.mtx,2097152,12582816,2048,256,107.971,0.460404,0.126193,0.000603628
MI300A,GWFQ,../gunrock/datasets/delaunay_n21/delaunay_n21.mtx,2097152,12582816,2048,256,124.907,0.401374,0.115435,0.000274396
MI300A,GLFQ,../gunrock/datasets/delaunay_n21/delaunay_n21.mtx,2097152,12582816,4096,256,125.692,0.414484,0.107148,0.000599544
MI300A,GWFQ,../gunrock/datasets/delaunay_n21/delaunay_n21.mtx,2097152,12582816,4096,256,133.53,1.28343,0.106932,0.00134065
MI300A,GLFQ,../gunrock/datasets/delaunay_n21/delaunay_n21.mtx,2097152,12582816,8192,256,202.977,3.07178,0.0635826,0.000998192
MI300A,GWFQ,../gunrock/datasets/delaunay_n21/delaunay_n21.mtx,2097152,12582816,8192,256,205.343,11.9216,0.0662193,0.00222428
