DEVICE,QUEUE,SCENE,THREADS,BOUNCES,TOTAL_RAYS,TOTAL_TIME_MS,MRAYS_PER_S
MI300A,BQ-NL,cornell,2048,4,4608000,10.1226,551.277
MI300A,BQ-NL,cornell,4096,2,2764800,6.65104,581.544
MI300A,BQ-NL,cornell,4096,4,4608000,10.6055,526.929
MI300A,BQ-NL,cornell,8192,2,2764800,7.11928,532.561
MI300A,BQ-NL,cornell,8192,4,4608000,11.3418,505.848
MI300A,WFQ,complex,512,2,1615536,8.41629,669.443
MI300A,WFQ,complex,512,4,1712003,9.32115,529.071
MI300A,WFQ,complex,1024,2,1615536,11.0407,334.946
MI300A,WFQ,complex,1024,4,1712003,20.7611,128.328
MI300A,WFQ,complex,2048,2,1615536,15.5801,204.309
MI300A,WFQ,complex,2048,4,1712003,57.1703,56.7754
MI300A,WFQ,complex,4096,2,1615536,106.768,16.7525
MI300A,WFQ,complex,4096,4,1712003,79.7144,24.5035
MI300A,WFQ,complex,8192,2,1615536,224.949,7.49876
MI300A,WFQ,cornell,8192,2,2764800,1175.33,2.43919
MI210,SFQ,complex,512,2,1615536,102.157,15.8459
MI210,SFQ,complex,512,4,1712005,129.781,13.2121
MI210,SFQ,complex,1024,2,1615536,56.0639,28.9084
MI210,SFQ,complex,1024,4,1712004,70.4344,24.3671
MI210,SFQ,complex,2048,2,1615536,38.3311,42.337
MI210,SFQ,complex,2048,4,1712003,45.1245,38.0824
MI210,SFQ,complex,4096,2,1615536,63.4322,25.5362
MI210,SFQ,complex,4096,4,1712003,66.8979,25.6554
MI210,SFQ,complex,8192,2,1615536,125.225,12.9202
MI210,SFQ,complex,8192,4,1712003,134.744,12.723
MI210,SFQ,cornell,512,2,2764800,49.5013,56.0993
MI210,SFQ,cornell,512,4,4608000,82.8541,55.7531
MI210,SFQ,cornell,1024,2,2764800,53.8852,51.4806
MI210,SFQ,cornell,1024,4,4608000,89.5588,51.5522
MI210,SFQ,cornell,2048,2,2764800,80.5404,34.4029
MI210,SFQ,cornell,2048,4,4608000,140.584,32.8168
MI210,SFQ,cornell,4096,2,2764800,147.842,18.7226
MI210,SFQ,cornell,4096,4,4608000,242.719,18.998
MI210,SFQ,cornell,8192,2,2764800,256.016,10.8078
MI210,SFQ,cornell,8192,4,4608000,418.697,11.0103
MI210,BQ-NL,complex,512,2,1615536,2.17714,833.913
MI210,BQ-NL,complex,512,4,1711999,2.78866,665.584
MI210,BQ-NL,complex,1024,2,1615536,1.29137,1455.33
MI210,BQ-NL,complex,1024,4,1711999,1.61761,1192.33
MI210,BQ-NL,complex,2048,2,1615536,0.911045,2210.87
MI210,BQ-NL,complex,2048,4,1711999,1.06897,1911.04
MI210,BQ-NL,complex,4096,2,1615536,0.808963,2577.75
MI210,BQ-NL,complex,4096,4,1711999,0.903683,2360.46
MI210,BQ-NL,complex,8192,2,1615536,0.894405,2313.18
MI210,BQ-NL,complex,8192,4,1711999,1.00497,2125.95
MI210,BQ-NL,cornell,512,2,2764800,1.32513,2527.04
MI210,BQ-NL,cornell,512,4,4608000,2.16977,2372.89
MI210,BQ-NL,cornell,1024,2,2764800,1.07985,3076.35
MI210,BQ-NL,cornell,1024,4,4608000,1.80993,2828.78
MI210,BQ-NL,cornell,2048,2,2764800,1.10257,3041.16
MI210,BQ-NL,cornell,2048,4,4608000,1.84369,2756.75
MI210,BQ-NL,cornell,4096,2,2764800,1.19889,2717.39
MI210,BQ-NL,cornell,4096,4,4608000,2.12353,2369.58
MI210,BQ-NL,cornell,8192,2,2764800,1.35457,2385.73
MI210,BQ-NL,cornell,8192,4,4608000,2.39601,2096.06
MI210,WFQ,complex,512,2,1615536,26.7666,68.2687
MI210,WFQ,complex,512,4,1712003,36.9667,50.5448
MI210,WFQ,complex,1024,2,1615536,37.48,47.1352
MI210,WFQ,complex,1024,4,1712003,78.8114,22.6287
MI210,WFQ,complex,2048,2,1615536,83.2367,20.2068
MI210,WFQ,complex,2048,4,1712003,259.379,6.68625
MI210,WFQ,complex,4096,2,1615536,179.531,9.16618
MI210,WFQ,complex,4096,4,1712003,885.476,1.94072
MI210,WFQ,complex,8192,2,1615536,1508.22,1.07346
MI300A,WFQ,cornell,1024,4,4608000,17.0482,482.611
MI300A,WFQ,cornell,2048,4,4608000,12.1719,954.631
MI300A,WFQ,cornell,4096,4,4608000,253.327,24.0446
MI210,WFQ,cornell,1024,4,4608000,66.9269,72.4117
MI210,WFQ,cornell,2048,4,4608000,69.5493,69.5723
MI210,WFQ,cornell,4096,4,4608000,72.3418,66.7776
MI210,WFQ,cornell,8192,4,4608000,514.853,9.00573
MI300A,WFQ,cornell,512,4,4608000,32.0306,184.244
MI210,GWFQ,complex,512,2,1615536,2.28818,834.74
MI210,GWFQ,complex,512,4,1711999,2.89474,672.062
MI210,GWFQ,complex,1024,2,1615536,1.85633,1128.91
MI210,GWFQ,complex,1024,4,1711999,2.16754,981.914
MI210,GWFQ,complex,2048,2,1615536,1.89474,1130.43
MI210,GWFQ,complex,2048,4,1711999,2.76594,739.353
MI210,GWFQ,complex,4096,2,1615536,1.87746,1125.89
MI210,GWFQ,complex,4096,4,1711999,2.94674,683.962
MI210,GWFQ,complex,8192,2,1615536,2.91074,655.821
MI210,GWFQ,complex,8192,4,1711999,3.32643,592.497
MI210,GWFQ,cornell,512,2,2764800,2.3157,1406.12
MI210,GWFQ,cornell,512,4,4608000,3.75267,1356.82
MI210,GWFQ,cornell,1024,2,2764800,2.68946,1219.04
MI210,GWFQ,cornell,1024,4,4608000,4.37396,1165.79
MI210,GWFQ,cornell,2048,2,2764800,2.93522,1111.25
MI210,GWFQ,cornell,2048,4,4608000,4.84067,1048.07
MI210,GWFQ,cornell,4096,2,2764800,2.93187,1113.32
MI210,GWFQ,cornell,4096,4,4608000,4.79492,1061.7
MI210,GWFQ,cornell,8192,2,2764800,2.97554,1088.02
MI210,GWFQ,cornell,8192,4,4608000,4.83348,1049.75
MI210,SFQ,cornell,512,4,4608000,81.1161,56.9489
MI210,SFQ,cornell,512,4,4608000,81.0677,56.9848
MI210,COMPACT,cornell,256,4,4608000,2.64754,1740.48
MI210,COMPACT,complex,256,2,1615536,1.50482,1073.58
MI210,COMPACT,cornell,256,4,4608000,2.56419,1797.06
MI210,COMPACT,cornell,256,4,4608000,2.51506,1832.16
MI210,COMPACT,complex,256,2,1615536,1.62897,991.751
MI210,COMPACT,complex,256,2,1615536,1.50785,1071.42
MI210,COMPACT,complex,256,2,1615536,1.42305,1135.26
MI210,COMPACT,complex,256,2,1615536,1.63298,989.32
MI210,COMPACT,cornell,256,4,4608000,2.58786,1780.62
MI210,COMPACT,cornell,256,4,4608000,2.61106,1764.8
MI210,COMPACT,cornell,256,4,4608000,2.7805,1657.25
MI210,COMPACT,cornell,256,4,4608000,2.54842,1808.18
MI210,COMPACT,complex,256,2,1615536,1.48417,1088.51
MI210,COMPACT,complex,256,2,1615536,1.44657,1116.8
MI210,GLFQ,complex,1024,2,1615536,1.25041,1469.08
MI210,GLFQ,complex,2048,2,1615536,0.871688,2218.63
MI300A,COMPACT,complex,256,2,1615536,1.48942,1084.35
MI300A,COMPACT,complex,256,2,1615536,1.48942,1084.35
MI300A,COMPACT,complex,256,2,1615536,1.36166,1186.45
MI300A,COMPACT,cornell,256,4,4608000,1.70556,2701.75
MI300A,WFQ,cornell,8192,4,4608000,790.081,6.92872
